DATE,CPIAUCNS
2006-01-01,198.3
2006-02-01,198.7
2006-03-01,199.8
2006-04-01,201.5
2006-05-01,202.5
2006-06-01,202.9
2006-07-01,203.5
2006-08-01,203.9
2006-09-01,202.9
2006-10-01,201.8
2006-11-01,201.5
2006-12-01,201.8
2007-01-01,202.416
2007-02-01,203.499
2007-03-01,205.352
2007-04-01,206.686
2007-05-01,207.949
2007-06-01,208.352
2007-07-01,208.299
2007-08-01,207.917
2007-09-01,208.490
2007-10-01,208.936
2007-11-01,210.177
2007-12-01,210.036
2008-01-01,211.080
2008-02-01,211.693
2008-03-01,213.528
2008-04-01,214.823
2008-05-01,216.632
2008-06-01,218.815
2008-07-01,219.964
2008-08-01,219.086
2008-09-01,218.783
2008-10-01,216.573
2008-11-01,212.425
2008-12-01,210.228
2009-01-01,211.143
2009-02-01,212.193
2009-03-01,212.709
2009-04-01,213.240
2009-05-01,213.856
2009-06-01,215.693
2009-07-01,215.351
2009-08-01,215.834
2009-09-01,215.969
2009-10-01,216.177
2009-11-01,216.330
2009-12-01,215.949
2010-01-01,216.687
2010-02-01,216.741
2010-03-01,217.631
2010-04-01,218.009
2010-05-01,218.178
2010-06-01,217.965
2010-07-01,218.011
