,pid,school
0,526301100,AMES COMMUNITY SCHOOL
1,526350040,AMES COMMUNITY SCHOOL
2,526351010,AMES COMMUNITY SCHOOL
3,526353030,AMES COMMUNITY SCHOOL
4,527105010,AMES COMMUNITY SCHOOL
5,527105030,GILBERT COMMUNITY SCHOOL
6,527127150,GILBERT COMMUNITY SCHOOL
7,527145080,GILBERT COMMUNITY SCHOOL
8,527146030,GILBERT COMMUNITY SCHOOL
9,527162130,GILBERT COMMUNITY SCHOOL
10,527163010,GILBERT COMMUNITY SCHOOL
11,527165230,GILBERT COMMUNITY SCHOOL
12,527166040,GILBERT COMMUNITY SCHOOL
13,527180040,GILBERT COMMUNITY SCHOOL
14,527182190,GILBERT COMMUNITY SCHOOL
15,527216070,GILBERT COMMUNITY SCHOOL
16,527225035,GILBERT COMMUNITY SCHOOL
17,527258010,GILBERT COMMUNITY SCHOOL
18,527276150,GILBERT COMMUNITY SCHOOL
19,527302110,GILBERT COMMUNITY SCHOOL
20,527358140,AMES COMMUNITY SCHOOL
21,527358200,AMES COMMUNITY SCHOOL
22,527368020,AMES COMMUNITY SCHOOL
23,527402200,AMES COMMUNITY SCHOOL
24,527402250,AMES COMMUNITY SCHOOL
25,527403020,AMES COMMUNITY SCHOOL
26,527404120,AMES COMMUNITY SCHOOL
27,527425090,AMES COMMUNITY SCHOOL
28,527427230,AMES COMMUNITY SCHOOL
29,527451180,AMES COMMUNITY SCHOOL
30,527451330,AMES COMMUNITY SCHOOL
31,527451410,AMES COMMUNITY SCHOOL
32,527452190,AMES COMMUNITY SCHOOL
33,527453130,AMES COMMUNITY SCHOOL
34,527453150,AMES COMMUNITY SCHOOL
35,527454200,AMES COMMUNITY SCHOOL
36,528108120,AMES COMMUNITY SCHOOL
37,528112020,GILBERT COMMUNITY SCHOOL
38,528120060,GILBERT COMMUNITY SCHOOL
39,528120090,GILBERT COMMUNITY SCHOOL
40,528120100,GILBERT COMMUNITY SCHOOL
41,528120120,GILBERT COMMUNITY SCHOOL
42,528138020,GILBERT COMMUNITY SCHOOL
43,528138060,GILBERT COMMUNITY SCHOOL
44,528150070,GILBERT COMMUNITY SCHOOL
45,528175010,GILBERT COMMUNITY SCHOOL
46,528176010,GILBERT COMMUNITY SCHOOL
47,528176070,GILBERT COMMUNITY SCHOOL
48,528180070,GILBERT COMMUNITY SCHOOL
49,528181050,GILBERT COMMUNITY SCHOOL
50,528188120,GILBERT COMMUNITY SCHOOL
51,528218150,GILBERT COMMUNITY SCHOOL
52,528228285,GILBERT COMMUNITY SCHOOL
53,528228440,GILBERT COMMUNITY SCHOOL
54,528231020,GILBERT COMMUNITY SCHOOL
55,528240070,GILBERT COMMUNITY SCHOOL
56,528240130,GILBERT COMMUNITY SCHOOL
57,528250100,GILBERT COMMUNITY SCHOOL
58,528292020,GILBERT COMMUNITY SCHOOL
